"cst_n","NDP","BQ","Green","Lib","Con"
"winnipeg south centre",7945,0,1383,14784,15506
"western arctic",7140,0,477,2872,5001
"chicoutimi--le fjord",19430,14675,780,2852,12881
"niagara west--glanbrook",12734,0,2530,8699,33701
"calgary northeast",4262,0,1953,11487,23550
"elmwood--transcona",14998,0,1017,1660,15298
"burnaby--new westminster",22193,0,1731,4496,16009
"cape breton--canso",6984,0,1141,16478,10873
"pierrefonds--dollard",16390,2392,1710,14632,12901
"scarborough--guildwood",10145,0,848,13849,13158
"winnipeg centre",13928,0,1830,2872,7173
"don valley west",6280,0,1703,22351,22962
"halifax",23746,0,2020,11793,8276
"abitibi--t_miscamingue",24763,15258,694,2859,4777
"barrie",11842,0,3266,9113,32121
"surrey north",14678,0,1289,6797,13181
"saanich--gulf islands",8185,0,31890,4208,24544
"beauce",15831,3535,852,5833,26799
"bruce--grey--owen sound",9008,0,5099,8203,28744
"malpeque",2970,0,785,8605,7934
"westmount--ville-marie",14704,2278,1516,15346,7218
"halifax west",13239,0,1931,16230,13782
"scarborough southwest",14119,0,1635,11699,12830
"winnipeg north",9053,0,458,9097,6701
"labrador",2120,0,139,4177,4256
"notre-dame-de-gr_ce--lachine",17943,3983,1914,14407,6574
"edmonton--spruce grove",9272,0,2232,5483,41782
"okanagan--coquihalla",12853,0,5005,5815,28525
"skeena--bulkley valley",19431,0,1102,1268,12117
"saint-l_onard--saint-michel",11720,3396,657,15340,4991
"toronto--danforth",29235,0,3107,8472,6885
"haldimand--norfolk",10062,0,1665,12549,25655
"etobicoke--lakeshore",11046,0,2159,19128,21997
"random--burin--st. george's",4465,0,307,12914,8322
"haute-gasp_sie--la mitis--matane--matap_dia",7484,12633,707,8964,5253
"oxford",12164,0,2058,4521,27973
"la pointe-de-l'_le",23033,15475,898,4369,3664
"halton",12960,0,2778,20903,44214
"wetaskiwin",5281,0,1978,1348,37756
"whitby--oshawa",14305,0,3143,9066,37525
"berthier--maskinong_",22403,16668,1196,8060,7904
"macleod",5335,0,2389,1898,40007
"souris--moose mountain",5461,0,898,1236,21598
"provencher",7051,0,1164,2645,27820
"hull--aylmer",35194,5019,1125,12051,6058
"argenteuil--papineau--mirabel",25802,16880,1506,7135,6497
"sydney--victoria",7049,0,1191,14788,14023
"brandon--souris",8845,0,2012,1882,22386
"welland",21917,0,1297,7276,20895
"edmonton east",17078,0,1345,3176,24111
"trois-rivi_res",26981,11987,972,3617,6205
"moncton--riverview--dieppe",14053,0,2016,15247,17408
"calgary west",6679,0,6070,11374,39996
"york south--weston",14122,0,975,11542,8559
"thornhill",7141,0,1562,14125,36629
"nanaimo--alberni",25165,0,4482,4984,30469
"york centre",6656,0,979,13979,20356
"kildonan--st. paul",11727,0,1020,3199,22670
"lac-saint-louis",16253,1689,2315,18457,15394
"mount royal",6963,1136,683,16151,13891
"richmond hill",8433,0,1832,17671,22078
"charleswood--st. james--assiniboia",8134,0,1587,7433,23264
"humber--st. barbe--baie verte",4751,0,253,17119,7559
"port moody--westwood--port coquitlam",14600,0,2161,4110,27181
"ahuntsic",14200,14908,620,13087,3770
"ottawa centre",33805,0,3262,13049,14063
"ottawa west--nepean",11128,0,2279,17790,25226
"mississauga--streetsville",7834,0,1802,18651,22104
"simcoe--grey",11185,0,3482,8207,31784
"laurier--sainte-marie",23373,17991,1324,4976,1764
"calgary east",4894,0,2047,4102,23372
"tobique--mactaquac",6388,0,831,5337,21108
"edmonton--strathcona",26093,0,1119,1372,19762
"gatineau",35262,8619,639,7975,4532
"regina--qu'appelle",11419,0,879,1400,15896
"cumberland--colchester--musquodoboit valley",9322,0,2109,7264,21041
"vegreville--wainwright",5561,0,2499,1525,39145
"madawaska--restigouche",6562,0,612,12309,14224
"lanark--frontenac--lennox and addington",12174,0,2702,9940,33754
"kenora",6855,0,636,5381,11567
"beausejour",10397,0,1913,17399,14811
"brossard--la prairie",25512,10890,900,16976,7806
"pickering--scarborough east",8932,0,1751,18013,19220
"yorkton--melville",6931,0,774,2167,21906
"wellington--halton hills",7146,0,3527,9034,35132
"bourassa",12270,6105,613,15550,3354
"portage--lisgar",3478,0,1996,2221,26899
"hamilton mountain",25595,0,1505,8787,17936
"montmorency--charlevoix--haute-c_te-nord",17601,16425,814,2628,9660
"prince albert",9841,0,666,1070,19214
"longueuil--pierre-boucher",27119,14181,1032,5321,4339
"vancouver east",27794,0,3383,4382,8361
"haliburton--kawartha lakes--brock",12934,0,2963,7539,35192
"wascana",7681,0,954,15823,14291
"northumberland--quinte west",12626,0,2733,12822,32853
"louis-h_bert",23373,14640,996,8110,13207
"peace river",7740,0,1702,1481,36334
"cambridge",15238,0,1978,8285,29394
"chatham-kent--essex",11449,0,1470,7172,23360
"vaughan",7940,0,1515,20435,38533
"saint john",11382,0,1017,5964,18456
"louis-saint-laurent",22629,8148,857,3612,21334
"jeanne-le ber",23293,12635,1377,10054,4678
"davenport",21096,0,1344,10946,5573
"okanagan--shuswap",14955,0,6058,4246,31439
"edmonton--mill woods--beaumont",10875,0,1364,5066,27857
"charlottetown",4632,0,417,7292,6040
"new brunswick southwest",7413,0,1646,4320,18066
"saskatoon--wanuskewin",11395,0,1250,2428,21183
"calgary southwest",6823,0,2991,4121,42998
"honor_-mercier",17545,8935,770,14641,5992
"st. john's south--mount pearl",18681,0,291,11130,8883
"parkdale--high park",24046,0,1666,16757,7924
"avalon",5157,0,218,16008,14749
"kitchener--conestoga",11665,0,2184,10653,28902
"eglinton--lawrence",5613,0,1534,18590,22652
"qu_bec",22393,14684,1144,4735,9330
"beauport--limoilou",24306,10250,950,3162,13845
